Ticker,Sector,Price,VALUE,QUALITY,GROWTH,MOMENTUM,COMPOSITE,RANK
CIEN,Technology,490.56,-1.01,-0.19,3.37,2.93,1.27,1
DELL,Technology,431.46,-0.32,-0.81,2.23,3.47,1.14,2
AMD,Technology,580.91,-1.0,0.01,0.87,3.92,0.95,3
AFL,Financial Services,117.25,0.42,0.41,2.99,-0.13,0.92,4
AMAT,Technology,723.0,-0.93,0.79,-0.13,3.71,0.86,5
GLW,Technology,255.43,-0.98,-0.12,0.42,3.94,0.81,6
CEG,Utilities,248.37,-0.04,-0.05,4.15,-0.87,0.8,7
APP,Communication Services,515.23,-0.88,2.26,1.61,-0.05,0.74,8
AES,Utilities,14.66,1.3,-0.6,2.21,0.01,0.73,9
COHR,Technology,394.47,-0.89,-0.28,0.52,3.25,0.65,10
ALL,Financial Services,237.94,1.55,0.48,0.4,0.11,0.63,11
BG,Consumer Defensive,106.73,1.89,-0.6,1.3,-0.09,0.62,12
MO,Consumer Defensive,71.95,0.08,2.38,-0.14,0.12,0.61,13
CNC,Healthcare,64.19,2.82,-0.8,-0.38,0.74,0.59,14
FIX,Industrials,1981.95,-0.89,0.33,-0.46,2.61,0.4,15
ANET,Technology,169.88,-0.88,1.23,0.61,0.54,0.37,16
APH,Technology,176.32,-0.82,0.17,1.36,0.78,0.37,17
GOOGL,Communication Services,357.37,-0.58,1.08,0.33,0.65,0.37,18
GOOG,Communication Services,353.33,-0.58,1.08,0.33,0.6,0.36,19
DAL,Industrials,93.66,0.51,-0.23,0.03,1.07,0.34,20
CF,Basic Materials,108.26,0.54,0.46,0.34,-0.01,0.33,21
AVGO,Technology,377.75,-0.91,0.99,1.18,0.07,0.33,22
CFG,Financial Services,70.07,0.65,0.23,-0.02,0.42,0.32,23
CAT,Industrials,1064.9,-0.85,-0.01,0.21,1.93,0.32,24
C,Financial Services,139.96,0.65,-0.0,0.07,0.56,0.32,25
ACGL,Financial Services,97.06,1.41,0.5,-0.45,-0.2,0.32,26
ADI,Technology,397.17,-0.73,0.4,0.9,0.64,0.31,27
CINF,Financial Services,185.14,0.76,0.37,-0.05,0.13,0.3,28
CMCSA,Communication Services,24.55,2.37,-0.01,-0.51,-0.7,0.29,29
ALB,Basic Materials,135.03,0.15,-0.69,1.31,0.3,0.27,30
APA,Energy,32.57,1.29,0.24,-0.87,0.38,0.26,31
